Volume,Close,Symbol,Date
24980,20850,ACB,2022-10-16
8530,33000,BID,2022-10-16
5730,50700,BVH,2022-10-16
17740,22700,CTG,2022-10-16
3390,74000,FPT,2022-10-16
1990,109800,GAS,2022-10-16
9160,16450,GVR,2022-10-16
2410,17000,HDB,2022-10-16
67080,19450,HPG,2022-10-16
3530,26500,KDH,2022-10-16
50210,17800,MBB,2022-10-16
5620,79000,MSN,2022-10-16
9340,59900,MWG,2022-10-16
50070,76000,NVL,2022-10-16
6440,48950,PDR,2022-10-16
2500,33700,PLX,2022-10-16
47590,10800,POW,2022-10-16
80,188400,SAB,2022-10-16
82470,17900,SSI,2022-10-16
76310,17650,STB,2022-10-16
17090,25700,TCB,2022-10-16
27400,20600,TPB,2022-10-16
5210,68100,VCB,2022-10-16
47250,51900,VHM,2022-10-16
3530,20200,VIB,2022-10-16
20250,59700,VIC,2022-10-16
6700,109000,VJC,2022-10-16
6860,74000,VNM,2022-10-16
73330,16149,VPB,2022-10-16
4500,25200,VRE,2022-10-16
