Symbol,Close,Volume,Date
ACB,22400,374730,2022-10-31
BID,34550,266340,2022-10-31
BVH,52500,78580,2022-10-31
CTG,24600,1012150,2022-10-31
FPT,75600,108470,2022-10-31
GAS,111100,15630,2022-10-31
GVR,14400,110250,2022-10-31
HDB,16400,155760,2022-10-31
HPG,15650,6629820,2022-10-31
KDH,22700,150300,2022-10-31
MBB,17700,1219590,2022-10-31
MSN,85500,132990,2022-10-31
MWG,51600,390390,2022-10-31
NVL,70000,245070,2022-10-31
PDR,43700,168290,2022-10-31
PLX,28500,85510,2022-10-31
POW,10350,1029340,2022-10-31
SAB,185300,10570,2022-10-31
SSI,16300,2050190,2022-10-31
STB,16149,1678290,2022-10-31
TCB,24600,728470,2022-10-31
TPB,20700,282790,2022-10-31
VCB,73500,65940,2022-10-31
VHM,45000,252390,2022-10-31
VIB,19600,122930,2022-10-31
VIC,55400,105280,2022-10-31
VJC,107600,15470,2022-10-31
VNM,78500,157220,2022-10-31
VPB,16350,1107020,2022-10-31
VRE,24600,134300,2022-10-31
